Biome_type,Country,Site,Latitude,Longitude,PI,Citation,Start_year,End_year,Start_cover,End_cover,Species,Species_Group,Time_period,Total_cover_change,Annual.rate,Method,trend
Tundra,Iceland,AKUREYRI:GA66,65.59293,-17.97208,Magnusson,Magnusson et al. 2005,1998,2015,3.615384615,6.461538462,Evergreen shrubs,Group,17,2.846153846,0.167420814,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:HR58,65.56427,-18.1559,Magnusson,Bjorkman et al. 2018,1998,2015,4.035714286,17.71428571,Evergreen shrubs,Group,17,13.67857143,0.804621849,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:MD72,65.51392,-18.0768,Magnusson,Magnusson et al. 2005,1998,2015,0.928571429,10.28571429,Evergreen shrubs,Group,17,9.357142857,0.550420168,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:SB63,65.44984,-18.24216,Magnusson,Magnusson et al. 2005,1998,2015,2.04,9.26,Evergreen shrubs,Group,17,7.22,0.424705882,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:SY59,65.50548,-18.22637,Magnusson,Magnusson et al. 2005,1998,2015,0.888888889,19.55555556,Evergreen shrubs,Group,17,18.66666667,1.098039216,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:CASSIOPE,78.87448,-75.78341, Henry,Elmendorf et al. 2012,1995,2007,12.05555556,14.33333333,Evergreen shrubs,Group,12,2.277777778,0.189814815,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:CASSIOPE_COVER,78.87448,-75.78341, Henry,Hudson & Henry 2009,1981,2007,30.45,28.85,Evergreen shrubs,Group,26,-1.6,-0.061538462,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:DOMEDOLOMITE,78.86221,-75.90053, Henry,Elmendorf et al. 2012,1995,2008,1.5,1.25,Evergreen shrubs,Group,13,-0.25,-0.019230769,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:DOMEGRANITE,78.86192,-75.90385, Henry,Elmendorf et al. 2012,1995,2008,0,0,Evergreen shrubs,Group,13,0,0,Ecological monitoring,Tundra_stable
Tundra,Canada,ALEXFIORD:DRYAS,78.8719,-75.7826, Henry,Elmendorf et al. 2012,1995,2015,9.8,15.01818182,Evergreen shrubs,Group,20,5.218181818,0.260909091,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:FERT,78.87107,-75.79107, Henry,Elmendorf et al. 2012,1995,2010,12.88888889,8.333333333,Evergreen shrubs,Group,15,-4.555555556,-0.303703704,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:LEVDOLOMITE,78.86221,-75.90053,Levesque,"Levesque 1997, unpublished data",1992,2009,1.805555556,0.333333333,Evergreen shrubs,Group,17,-1.472222222,-0.086601307,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:LEVGRANITE,78.86192,-75.90385,Levesque,"Levesque 1997, unpublished data",1992,2009,0.166666667,1.166666667,Evergreen shrubs,Group,17,1,0.058823529,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:MEADOW,78.87558,-75.80909, Henry,Elmendorf et al. 2012,1995,2010,13,10.72727273,Evergreen shrubs,Group,15,-2.272727273,-0.151515152,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:WILLOW,78.87421,-75.79867, Henry,Elmendorf et al. 2012,1995,2015,6.5,10.33333333,Evergreen shrubs,Group,20,3.833333333,0.191666667,Ecological monitoring,Tundra_increase
Tundra,USA,ANWR:ATIGUN-A,68.4746405,-149.3521345,Jorgenson,Jorgenson et al. 2000;,1997,2007,11.25,10.5,Evergreen shrubs,Group,10,-0.75,-0.075,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:ATIGUN-B,68.4759725,-149.352222,Jorgenson,Jorgenson et al. 2000;,1997,2007,1.75,0.85,Evergreen shrubs,Group,10,-0.9,-0.09,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:ATIGUN-C,68.454758,-149.319503,Jorgenson,Jorgenson et al. 2000; unpubl data,1997,2007,28.8,25.6,Evergreen shrubs,Group,10,-3.2,-0.32,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:JAGO-A,69.70312,-143.626875,Jorgenson,Jorgenson et al. 1997; Unpubl. Data,1996,2005,6.775,5.825,Evergreen shrubs,Group,9,-0.95,-0.105555556,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:JAGO-B,69.71159,-143.616045,Jorgenson,Jorgenson et al. 1997; Unpubl. Data,1996,2005,4.2,4.4,Evergreen shrubs,Group,9,0.2,0.022222222,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:AD,70.45373011,-157.4073879,Hollister,Hollister et al. 2005; Unpubl. data,1997,2012,7.147368421,5.568421053,Evergreen shrubs,Group,15,-1.578947368,-0.105263158,Ecological monitoring,Tundra_decrease
Tundra,Canada,ATQASUK:AG,70.451449,-157.403942,Hollister,Hollister et al. 2005; Hollister et al. 2015;,2010,2014,5.564516129,12.56451613,Evergreen shrubs,Group,4,7,1.75,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_BETULA_SHRUB,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,4.961708333,6.784654167,Evergreen shrubs,Group,9,1.822945833,0.202549537,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_CAREX_ WET_MEADOW,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,0.033333333,1.125,Evergreen shrubs,Group,9,1.091666667,0.121296296,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_DRYAS_HEATH,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,2.400345833,2.689583333,Evergreen shrubs,Group,9,0.2892375,0.0321375,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,4.941861111,4.023033333,Evergreen shrubs,Group,9,-0.918827778,-0.102091975,Ecological monitoring,Tundra_decrease
Tundra,Iceland,AUDKULUHEIDI:BETULAHEATH,65.21748,-19.71319,Jonsdottir,Jónsdóttir et al. 2005; Unpubl. data,1996,2007,3.3,2.65,Evergreen shrubs,Group,11,-0.65,-0.059090909,Ecological monitoring,Tundra_decrease
Tundra,USA,BARROW:BD,71.31502696,-156.6010247,Hollister,"Hollister et al. 2005; Unpubl. data
",1995,2012,10.84,21.36,Evergreen shrubs,Group,17,10.52,0.618823529,Ecological monitoring,Tundra_increase
Tundra,USA,BARROW:DRY_HEATH_ORDINATION,71.29,-156.64,WEBBER,Elmendorf et al. 2015,1999,2008,9.083333333,5.223333333,Evergreen shrubs,Group,9,-3.86,-0.428888889,Ecological monitoring,Tundra_decrease
Tundra,Iceland,BLONDUOS:SD33,65.50305,-20.22768,Magnusson,Magnusson et al. 2005,1997,2015,0,0.5,Evergreen shrubs,Group,18,0.5,0.027777778,Ecological monitoring,Tundra_increase
Tundra,Iceland,BLONDUOS:SD34,65.50146,-20.22503,Magnusson,Magnusson et al. 2005,1997,2015,9.480769231,7.692307692,Evergreen shrubs,Group,18,-1.788461538,-0.099358974,Ecological monitoring,Tundra_decrease
Tundra,USA,BROOKS:SHEEN-B,68.5734993,-143.7246513,Jorgenson,Jorgenson et al. 1997; Unpubl. Data,1998,2008,13.36666667,15.63333333,Evergreen shrubs,Group,10,2.266666667,0.226666667,Ecological monitoring,Tundra_increase
Tundra,Canada,BYLOT:MESPOLYGON,73.1682958,-79.9044525,Levesque,Elmendorf et al. 2015,2002,2008,0.823529412,1.379811184,Evergreen shrubs,Group,6,0.556281772,0.092713629,Ecological monitoring,Tundra_increase
Tundra,Canada,BYLOT:MESPRAIRIE,73.1399267,-79.9843858,Levesque,Elmendorf et al. 2015,2002,2008,8.4,12.4624059,Evergreen shrubs,Group,6,4.062405902,0.67706765,Ecological monitoring,Tundra_increase
Tundra,Iceland,DALSMYNNI:KD25,65.77286,-19.04222,Magnusson,Magnusson et al. 2005,1997,2015,0,63,Evergreen shrubs,Group,18,63,3.5,Ecological monitoring,Tundra_increase
Tundra,Iceland,DALSMYNNI:KK5,65.80262,-19.36136,Magnusson,Bjorkman et al. 2018,1997,2005,6.111111111,10.5,Evergreen shrubs,Group,8,4.388888889,0.548611111,Ecological monitoring,Tundra_increase
Tundra,Norway,DOVRE:KUNTSHOE,62.3,9.62,Hofgaard,Hofgaard et al. 2010,1999,2008,5.169965278,6.343137255,Evergreen shrubs,Group,9,1.173171977,0.130352442,Ecological monitoring,Tundra_increase
Tundra,Svalbard,ENDALEN:BIS-H,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,5.4,0.6,Evergreen shrubs,Group,6,-4.8,-0.8,Ecological monitoring,Tundra_decrease
Tundra,Svalbard,ENDALEN:BIS-L,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,0.2,0,Evergreen shrubs,Group,6,-0.2,-0.033333333,Ecological monitoring,Tundra_decrease
Tundra,Svalbard,ENDALEN:CAS-H,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,38.3,31.6,Evergreen shrubs,Group,6,-6.7,-1.116666667,Ecological monitoring,Tundra_decrease
Tundra,Svalbard,ENDALEN:CAS-L,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,35.3,19.8,Evergreen shrubs,Group,6,-15.5,-2.583333333,Ecological monitoring,Tundra_decrease
Tundra,Svalbard,ENDALEN:DRY-H,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,18.6,22.6,Evergreen shrubs,Group,6,4,0.666666667,Ecological monitoring,Tundra_increase
Tundra,Svalbard,ENDALEN:DRY-L,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,37.6,36.8,Evergreen shrubs,Group,6,-0.8,-0.133333333,Ecological monitoring,Tundra_decrease
Tundra,Sweden,FURI:FURI4,61.63542,12.6375,Vowles,Vowles et al. 2017,1995,2011,12.71186441,15.53389831,Evergreen shrubs,Group,16,2.822033898,0.176377119,Ecological monitoring,Tundra_increase
Tundra,Sweden,FURI:FURI5,61.63542,12.6375,Vowles,Vowles et al. 2017,1995,2011,10.56129032,16.75967742,Evergreen shrubs,Group,16,6.198387097,0.387399194,Ecological monitoring,Tundra_increase
Tundra,Sweden,FURI:FURI6,61.63542,12.6375,Vowles,Vowles et al. 2017,1995,2011,9.68,11.12545455,Evergreen shrubs,Group,16,1.445454545,0.090340909,Ecological monitoring,Tundra_increase
Tundra,Iceland,HJARDARLAND:HF73,64.03843,-20.27764,Magnusson,Bjorkman et al. 2018,1998,2015,0,0,Evergreen shrubs,Group,17,0,0,Ecological monitoring,Tundra_stable
Tundra,Iceland,HJARDARLAND:LH92,64.22035,-20.59859,Magnusson,Magnusson et al. 2005,1998,2015,1.142857143,1,Evergreen shrubs,Group,17,-0.142857143,-0.008403361,Ecological monitoring,Tundra_decrease
Tundra,Iceland,HOLTAVORDUHEIDI:AH36,65.08352,-20.54624,Magnusson,Bjorkman et al. 2018,1997,2015,0.25,2.375,Evergreen shrubs,Group,18,2.125,0.118055556,Ecological monitoring,Tundra_increase
Tundra,Iceland,HOLTAVORDUHEIDI:AH37,65.06794,-20.58339,Magnusson,Magnusson et al. 2005,1997,2015,1.5,1.75,Evergreen shrubs,Group,18,0.25,0.013888889,Ecological monitoring,Tundra_increase
Tundra,Iceland,HOLTAVORDUHEIDI:AH38,65.07728,-20.58907,Magnusson,Magnusson et al. 2005,1997,2015,0.7,10.9,Evergreen shrubs,Group,18,10.2,0.566666667,Ecological monitoring,Tundra_increase
Tundra,Iceland,HOLTAVORDUHEIDI:VH49,65.22778,-20.43913,Magnusson,Magnusson et al. 2005,1997,2015,5.8,13.7,Evergreen shrubs,Group,18,7.9,0.438888889,Ecological monitoring,Tundra_increase
Tundra,Canada,KLUANE:PIKA,61.21666667,-138.2666667,Koh,Elmendorf et al. 2012,1996,2007,15.31,51.93,Evergreen shrubs,Group,11,36.62,3.329090909,Ecological monitoring,Tundra_increase
Tundra,Russia,KYTALYK:LAKEBED,70.830638,147.475778,Blok,Blok et al. 2010 GCB,2007,2012,5.318039625,6.569343066,Evergreen shrubs,Group,5,1.251303441,0.250260688,Ecological monitoring,Tundra_increase
Tundra,Russia,KYTALYK:RIDGE,70.826777,147.468277,Blok,Blok et al. 2010 GCB,2007,2009,27.25060827,29.6836983,Evergreen shrubs,Group,2,2.433090024,1.216545012,Ecological monitoring,Tundra_increase
Tundra,Sweden,LATNJA:DRY_HEATH,68.35572,18.49531,Molau,Molau 1997; Unpubl. data,1995,2008,3.12,5.52,Evergreen shrubs,Group,13,2.4,0.184615385,Ecological monitoring,Tundra_increase
Tundra,Sweden,LATNJA:DRY_MEADOW,68.35683,18.49756,Molau,Bjork et al. 2007; Unpubl. data,1996,2014,11.58333333,8.505,Evergreen shrubs,Group,18,-3.078333333,-0.171018519,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LATNJA:LatnjaHeath,68.35,18.49,Molau,Elmendorf et al. 2012,1995,1999,1.604166667,1.4375,Evergreen shrubs,Group,4,-0.166666667,-0.041666667,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LATNJA:TUSSOCK_TUNDRA,68.3551536,18.4913635,Molau,Molau 2010,1995,2014,1.12,2.52,Evergreen shrubs,Group,19,1.4,0.073684211,Ecological monitoring,Tundra_increase
Tundra,Sweden,LOGH:LOGH2,62.10253,12.34458,Vowles,Vowles et al. 2017,1995,2011,6.4625,13.44642857,Evergreen shrubs,Group,16,6.983928571,0.436495536,Ecological monitoring,Tundra_increase
Tundra,Sweden,LOGH:LOGH4,62.10253,12.34458,Vowles,Vowles et al. 2017,1995,2011,10.04791667,12.64791667,Evergreen shrubs,Group,16,2.6,0.1625,Ecological monitoring,Tundra_increase
Tundra,Sweden,LOGH:LOGH5,62.10253,12.34458,Vowles,Vowles et al. 2017,1995,2011,8.967213115,8.4,Evergreen shrubs,Group,16,-0.567213115,-0.03545082,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LORI:LORI1,62.11508,12.27236,Vowles,Vowles et al. 2017,1995,2011,14.67407407,24.7308642,Evergreen shrubs,Group,16,10.05679012,0.628549383,Ecological monitoring,Tundra_increase
Tundra,Sweden,LORI:LORI3,62.11508,12.27236,Vowles,Vowles et al. 2017,1995,2011,8.515492958,26.53943662,Evergreen shrubs,Group,16,18.02394366,1.126496479,Ecological monitoring,Tundra_increase
Tundra,Sweden,LORI:LORI4,62.11508,12.27236,Vowles,Vowles et al. 2017,1995,2011,13.6421875,26.5984375,Evergreen shrubs,Group,16,12.95625,0.809765625,Ecological monitoring,Tundra_increase
Tundra,Iceland,MODRUVELLIR:LH69,65.93894,-18.10823,Magnusson,Magnusson et al. 2005,1998,2015,4.714285714,5.214285714,Evergreen shrubs,Group,17,0.5,0.029411765,Ecological monitoring,Tundra_increase
Tundra,Iceland,MODRUVELLIR:MV52,65.76853,-18.28029,Magnusson,Magnusson et al. 2005,1998,2015,4.34,10.86,Evergreen shrubs,Group,17,6.52,0.383529412,Ecological monitoring,Tundra_increase
Tundra,Iceland,OXNADALSHEIDI:SA16,65.46684,-18.69754,Magnusson,Magnusson et al. 2005,1997,2015,1.071428571,13.35714286,Evergreen shrubs,Group,18,12.28571429,0.682539683,Ecological monitoring,Tundra_increase
Tundra,Iceland,OXNADALSHEIDI:SA17,65.46596,-18.69386,Magnusson,Magnusson et al. 2005,1997,2015,0.5,0.5,Evergreen shrubs,Group,18,0,0,Ecological monitoring,Tundra_stable
Tundra,Iceland,OXNADALSHEIDI:SA19,65.48131,-18.90435,Magnusson,Magnusson et al. 2005,1997,2015,6.633333333,7.6,Evergreen shrubs,Group,18,0.966666667,0.053703704,Ecological monitoring,Tundra_increase
Tundra,Canada,QHI:HE,69.57488,-138.86347,"Cooley, Johnstone, Myers-Smith, Kennedy, Burn, Zhang",Myers-Smith et al. 2011,1999,2015,3,2.714285714,Evergreen shrubs,Group,16,-0.285714286,-0.017857143,Ecological monitoring,Tundra_decrease
Tundra,Canada,QHI:KO,69.57646,-138.86774,"Cooley, Johnstone, Myers-Smith, Kennedy, Burn, Zhang",Myers-Smith et al. 2011,1999,2015,49.66666667,66.66666667,Evergreen shrubs,Group,16,17,1.0625,Ecological monitoring,Tundra_increase
Tundra,Sweden,RIRI:RIRI2,67.77306,17.53611,Vowles,Vowles et al. 2017,1995,2011,3.7,4.731578947,Evergreen shrubs,Group,16,1.031578947,0.064473684,Ecological monitoring,Tundra_increase
Tundra,Sweden,RIRI:RIRI4,67.77306,17.53611,Vowles,Vowles et al. 2017,1995,2011,3.108163265,4.755102041,Evergreen shrubs,Group,16,1.646938776,0.102933673,Ecological monitoring,Tundra_increase
Tundra,Sweden,RIRI:RIRI6,67.77306,17.53611,Vowles,Vowles et al. 2017,1995,2011,1.431914894,9.482978723,Evergreen shrubs,Group,16,8.05106383,0.503191489,Ecological monitoring,Tundra_increase
Tundra,Svalbard,SADVENT:MES_PHOTO,78.19,15.934,COOPER,Cooper et al. 2006,2003,2008,1.2,3.6,Evergreen shrubs,Group,5,2.4,0.48,Ecological monitoring,Tundra_increase
Tundra,Canada,SVERDRUP:SVERDRUP,79.13658,-79.61922,Levesque,Levesque 1997; Unpubl. data,1992,2009,1.641666667,1,Evergreen shrubs,Group,17,-0.641666667,-0.037745098,Ecological monitoring,Tundra_decrease
Tundra,Japan,TAISETSU:F1,43.54,142.87,KUDO,Kudo et al. 2010,2002,2007,1,2,Evergreen shrubs,Group,5,1,0.2,Ecological monitoring,Tundra_increase
Tundra,Japan,TAISETSU:F2,43.55,142.86,KUDO,Kudo et al. 2010,2002,2007,8.583333333,11.16666667,Evergreen shrubs,Group,5,2.583333333,0.516666667,Ecological monitoring,Tundra_increase
Tundra,Japan,TAISETSU:S1,43.55,142.87,KUDO,Kudo et al. 2010,2002,2007,2.5,4.875,Evergreen shrubs,Group,5,2.375,0.475,Ecological monitoring,Tundra_increase
Tundra,Japan,TAISETSU:S2,43.55,142.86,KUDO,Kudo et al. 2010,2002,2007,0.166666667,0.733333333,Evergreen shrubs,Group,5,0.566666667,0.113333333,Ecological monitoring,Tundra_increase
Tundra,Iceland,THYKKVIBAER:RT81,63.98622,-21.15821,Magnusson,Magnusson et al. 2005,1998,2015,6.444444444,0.111111111,Evergreen shrubs,Group,17,-6.333333333,-0.37254902,Ecological monitoring,Tundra_decrease
Tundra,USA,TOOLIK:DRY,68.62,-149.61,Gould,Elmendorf et al. 2012,1994,2007,4,6.5,Evergreen shrubs,Group,13,2.5,0.192307692,Ecological monitoring,Tundra_increase
Tundra,USA,TOOLIK:IMNAVAIT,68.62,-149.28,Gould,Elmendorf et al. 2012,1989,2007,1.788732394,2.175050302,Evergreen shrubs,Group,18,0.386317907,0.021462106,Ecological monitoring,Tundra_increase
Tundra,USA,TOOLIK:MOIST,68.62,-149.61,Gould,Elmendorf et al. 2012,1994,2008,5.057142857,3.8,Evergreen shrubs,Group,14,-1.257142857,-0.089795918,Ecological monitoring,Tundra_decrease
Tundra,USA,TOOLIK:TUSSOCKGRID,68.62,-149.61,Gould,Elmendorf et al. 2012,1990,2008,2.062352941,2.570588235,Evergreen shrubs,Group,18,0.508235294,0.028235294,Ecological monitoring,Tundra_increase
Tundra,Canada,TORNGATS:NAKVAKDRY,58.63917,-63.375,Hermanutz,Bjorkman et al. 2018,2007,2015,9.837373737,8.411764706,Evergreen shrubs,Group,8,-1.425609031,-0.178201129,Ecological monitoring,Tundra_decrease
Tundra,Canada,TORNGATS:NAKVAKWET,58.63917,-63.375,Hermanutz,Bjorkman et al. 2018,2007,2015,1.530934343,1,Evergreen shrubs,Group,8,-0.530934343,-0.066366793,Ecological monitoring,Tundra_decrease
Tundra,Iceland,AKUREYRI:GA66,65.59293,-17.97208,Magnusson,Magnusson et al. 2005,1998,2015,7.25,16.46428571,Deciduous shrubs,Group,17,9.214285714,0.542016807,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:MD72,65.51392,-18.0768,Magnusson,Magnusson et al. 2005,1998,2015,0.5,20.5,Deciduous shrubs,Group,17,20,1.176470588,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:SB63,65.44984,-18.24216,Magnusson,Magnusson et al. 2005,1998,2015,0.25,5.25,Deciduous shrubs,Group,17,5,0.294117647,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:CASSIOPE,78.87448,-75.78341, Henry,Hudson & Henry 2009,1995,2007,5.166666667,6.083333333,Deciduous shrubs,Group,12,0.916666667,0.076388889,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:CASSIOPE_COVER,78.87448,-75.78341, Henry,Hudson & Henry 2009,1981,2007,4.6,4.7,Deciduous shrubs,Group,26,0.1,0.003846154,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:DOMEDOLOMITE,78.86221,-75.90053, Henry,Elmendorf et al. 2012,1995,2008,2.2,12.66666667,Deciduous shrubs,Group,13,10.46666667,0.805128205,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:DOMEGRANITE,78.86192,-75.90385, Henry,Elmendorf et al. 2012,1995,2008,6.6,14.18181818,Deciduous shrubs,Group,13,7.581818182,0.583216783,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:DRYAS,78.8719,-75.7826, Henry,Elmendorf et al. 2012,1995,2015,7,8.1,Deciduous shrubs,Group,20,1.1,0.055,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:FERT,78.87107,-75.79107, Henry,Elmendorf et al. 2012,1995,2010,14.1,14.7,Deciduous shrubs,Group,15,0.6,0.04,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:LEVDOLOMITE,78.86221,-75.90053,Levesque,"Levesque 1997, unpublished data",1992,2009,3.15625,6.4375,Deciduous shrubs,Group,17,3.28125,0.193014706,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:LEVGRANITE,78.86192,-75.90385,Levesque,"Levesque 1997, unpublished data",1992,2009,8.49,29.76,Deciduous shrubs,Group,17,21.27,1.251176471,Ecological monitoring,Tundra_increase
