Biome_type,Country,Site,Latitude,Longitude,PI,Citation,Start_year,End_year,Start_cover,End_cover,Species,Species_Group,Time_period,Total_cover_change,Annual.rate,Method,trend
Tundra,Canada,ALEXFIORD:MEADOW,78.87558,-75.80909, Henry,Elmendorf et al. 2012,1995,2010,2,4.111111111,Deciduous shrubs,Group,15,2.111111111,0.140740741,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:WILLOW,78.87421,-75.79867, Henry,Elmendorf et al. 2012,1995,2015,10.2,36.75,Deciduous shrubs,Group,20,26.55,1.3275,Ecological monitoring,Tundra_increase
Tundra,USA,ANWR:ATIGUN-A,68.4746405,-149.3521345,Jorgenson,Jorgenson et al. 2000; unpubl data,1997,2007,1.95,2,Deciduous shrubs,Group,10,0.05,0.005,Ecological monitoring,Tundra_increase
Tundra,USA,ANWR:ATIGUN-B,68.4759725,-149.352222,Jorgenson,Jorgenson et al. 2000; unpubl data,1997,2007,5.05,5.05,Deciduous shrubs,Group,10,0,0,Ecological monitoring,Tundra_stable
Tundra,USA,ANWR:ATIGUN-C,68.454758,-149.319503,Jorgenson,Jorgenson et al. 2000; unpubl data,1997,2007,4.25,4.95,Deciduous shrubs,Group,10,0.7,0.07,Ecological monitoring,Tundra_increase
Tundra,USA,ANWR:JAGO-A,69.70312,-143.626875,Jorgenson,Jorgenson et al. 2000; unpubl data,1996,2005,4.24,3.84,Deciduous shrubs,Group,9,-0.4,-0.044444444,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:JAGO-B,69.71159,-143.616045,Jorgenson,Jorgenson et al. 2000; unpubl data,1996,2005,3.1625,3.2125,Deciduous shrubs,Group,9,0.05,0.005555556,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:AD,70.45373011,-157.4073879,Hollister,Hollister et al. 2005; Unpubl. Data,1997,2012,2.6,1.8,Deciduous shrubs,Group,15,-0.8,-0.053333333,Ecological monitoring,Tundra_decrease
Tundra,Canada,ATQASUK:AG,70.451449,-157.403942,Hollister,Hollister et al. 2005; Unpubl. Data,2010,2014,9.25,16.53125,Deciduous shrubs,Group,4,7.28125,1.8203125,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:AW,70.45303348,-157.4003018,Hollister,Hollister et al. 2005; Unpubl. Data,1997,2012,4.465116279,4.302325581,Deciduous shrubs,Group,15,-0.162790698,-0.010852713,Ecological monitoring,Tundra_decrease
Tundra,Canada,ATQASUK:RATE_BETULA_SHRUB,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,4.9559175,2.898095,Deciduous shrubs,Group,9,-2.0578225,-0.228646944,Ecological monitoring,Tundra_decrease
Tundra,Canada,ATQASUK:RATE_CAREX_ WET_MEADOW,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,0.727355556,1.923616667,Deciduous shrubs,Group,9,1.196261111,0.132917901,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_DRYAS_HEATH,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,2.545962963,2.351457407,Deciduous shrubs,Group,9,-0.194505556,-0.021611728,Ecological monitoring,Tundra_decrease
Tundra,Canada,ATQASUK:RATE_ERIOPHORUM_WET_MEADOW,70.456021,-157.414293,WEBBER,Bjorkman et al. 2018,2000,2009,0.85,0.666666667,Deciduous shrubs,Group,9,-0.183333333,-0.02037037,Ecological monitoring,Tundra_decrease
Tundra,Canada,ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,2.077222222,1.737344444,Deciduous shrubs,Group,9,-0.339877778,-0.037764198,Ecological monitoring,Tundra_decrease
Tundra,Iceland,AUDKULUHEIDI:BETULAHEATH,65.21748,-19.71319,Jonsdottir,Jonsdottir et al. 2005; Unpubl. data,1996,2007,3.25,4.525,Deciduous shrubs,Group,11,1.275,0.115909091,Ecological monitoring,Tundra_increase
Tundra,USA,BARROW:BD,71.31502696,-156.6010247,Hollister,"Hollister et al. 2005; Unpubl. data
",1995,2012,15,17.04166667,Deciduous shrubs,Group,17,2.041666667,0.120098039,Ecological monitoring,Tundra_increase
Tundra,USA,BARROW:BG,71.310312,-156.592799,Hollister,"Hollister et al. 2005; Unpubl. data
",2010,2014,14.85714286,15.5,Deciduous shrubs,Group,4,0.642857143,0.160714286,Ecological monitoring,Tundra_increase
Tundra,USA,BARROW:BW,71.31051842,-156.5978987,Hollister,"Hollister et al. 2005; Unpubl. data
",1996,2012,0.571428571,0.714285714,Deciduous shrubs,Group,16,0.142857143,0.008928571,Ecological monitoring,Tundra_increase
Tundra,USA,BARROW:CAREX_MESIC MEADOW_ORDINATION,71.29,-156.64,WEBBER,Elmendorf et al. 2012,1999,2008,2.9,1.163636364,Deciduous shrubs,Group,9,-1.736363636,-0.192929293,Ecological monitoring,Tundra_decrease
Tundra,USA,BARROW:CAREX_MOIST MEADOW_ORDINATION,71.29,-156.64,WEBBER,Elmendorf et al. 2012,1999,2008,9.687857143,7.916428571,Deciduous shrubs,Group,9,-1.771428571,-0.196825397,Ecological monitoring,Tundra_decrease
Tundra,USA,BARROW:CAREX_MOIST_MEADOW_MICROTOPO,71.29,-156.64,Webber,Elmendorf et al. 2012,1999,2008,6.255813953,2.977011494,Deciduous shrubs,Group,9,-3.278802459,-0.364311384,Ecological monitoring,Tundra_decrease
Tundra,USA,BARROW:DRY_HEATH_ORDINATION,71.29,-156.64,WEBBER,Elmendorf et al. 2012,1999,2008,14.26444444,8.636666667,Deciduous shrubs,Group,9,-5.627777778,-0.625308642,Ecological monitoring,Tundra_decrease
Tundra,Iceland,BLONDUOS:SD33,65.50305,-20.22768,Magnusson,Magnusson et al. 2005,1997,2015,0.5,0,Deciduous shrubs,Group,18,-0.5,-0.027777778,Ecological monitoring,Tundra_decrease
Tundra,Iceland,BLONDUOS:SD34,65.50146,-20.22503,Magnusson,Bjorkman et al. 2018,1997,2015,4.5,3.5,Deciduous shrubs,Group,18,-1,-0.055555556,Ecological monitoring,Tundra_decrease
Tundra,USA,BROOKS:SHEEN-B,68.5734993,-143.7246513,Jorgenson,Jorgenson et al. 1997; Unpubl. Data,1998,2008,5.25,5.666666667,Deciduous shrubs,Group,10,0.416666667,0.041666667,Ecological monitoring,Tundra_increase
Tundra,Canada,BYLOT:MESPOLYGON,73.1682958,-79.9044525,Levesque,Elmendorf et al. 2012,2002,2008,11.31060606,12.72914328,Deciduous shrubs,Group,6,1.418537224,0.236422871,Ecological monitoring,Tundra_increase
Tundra,Canada,BYLOT:MESPRAIRIE,73.1399267,-79.9843858,Levesque,Elmendorf et al. 2012,2002,2008,10.06748807,14.84236593,Deciduous shrubs,Group,6,4.774877862,0.795812977,Ecological monitoring,Tundra_increase
Tundra,Iceland,DALSMYNNI:KD25,65.77286,-19.04222,Magnusson,Magnusson et al. 2005,1997,2015,0,3,Deciduous shrubs,Group,18,3,0.166666667,Ecological monitoring,Tundra_increase
Tundra,Iceland,DALSMYNNI:KK5,65.80262,-19.36136,Magnusson,Magnusson et al. 2005,1997,2005,1.333333333,0.833333333,Deciduous shrubs,Group,8,-0.5,-0.0625,Ecological monitoring,Tundra_decrease
Tundra,Norway,DOVRE:KUNTSHOE,62.3,9.62,Hofgaard,Hofgaard et al. 2010,1999,2008,1.638194444,2.942538126,Deciduous shrubs,Group,9,1.304343682,0.144927076,Ecological monitoring,Tundra_increase
Tundra,Svalbard,ENDALEN:BIS-H,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,22.4,2.8,Deciduous shrubs,Group,6,-19.6,-3.266666667,Ecological monitoring,Tundra_decrease
Tundra,Svalbard,ENDALEN:BIS-L,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,19,16,Deciduous shrubs,Group,6,-3,-0.5,Ecological monitoring,Tundra_decrease
Tundra,Svalbard,ENDALEN:CAS-H,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,8.6,2.8,Deciduous shrubs,Group,6,-5.8,-0.966666667,Ecological monitoring,Tundra_decrease
Tundra,Svalbard,ENDALEN:CAS-L,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,10.4,11,Deciduous shrubs,Group,6,0.6,0.1,Ecological monitoring,Tundra_increase
Tundra,Svalbard,ENDALEN:DRY-H,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,7.8,13,Deciduous shrubs,Group,6,5.2,0.866666667,Ecological monitoring,Tundra_increase
Tundra,Svalbard,ENDALEN:DRY-L,78.18557,15.74496,Jonsdottir,Elmendorf et al. 2012,2003,2009,8.4,12,Deciduous shrubs,Group,6,3.6,0.6,Ecological monitoring,Tundra_increase
Tundra,Faroe Islands,FAROE:SORNFELLI,62.066667,-6.95,Fosaa,NA,2001,2008,12.4,18.3,Deciduous shrubs,Group,7,5.9,0.842857143,Ecological monitoring,Tundra_increase
Tundra,Sweden,FURI:FURI4,61.63542,12.6375,Vowles,Vowles et al. 2017,1995,2011,1.284,3.992,Deciduous shrubs,Group,16,2.708,0.16925,Ecological monitoring,Tundra_increase
Tundra,Sweden,FURI:FURI5,61.63542,12.6375,Vowles,Vowles et al. 2017,1995,2011,0.961904762,4.104761905,Deciduous shrubs,Group,16,3.142857143,0.196428571,Ecological monitoring,Tundra_increase
Tundra,Sweden,FURI:FURI6,61.63542,12.6375,Vowles,Vowles et al. 2017,1995,2011,2.225,8.677777778,Deciduous shrubs,Group,16,6.452777778,0.403298611,Ecological monitoring,Tundra_increase
Tundra,Italy,GAVIA:POL,46.340556,10.499167,Carbognani,Bjorkman et al. 2018,2008,2014,2.075,16.675,Deciduous shrubs,Group,6,14.6,2.433333333,Ecological monitoring,Tundra_increase
Tundra,Italy,GAVIA:SAL,46.340556,10.499167,Carbognani,Bjorkman et al. 2018,2008,2014,81.68,71.1,Deciduous shrubs,Group,6,-10.58,-1.763333333,Ecological monitoring,Tundra_decrease
Tundra,Iceland,HJARDARLAND:HA75,64.06638,-20.26565,Magnusson,Bjorkman et al. 2018,1998,2015,0,0,Deciduous shrubs,Group,17,0,0,Ecological monitoring,Tundra_stable
Tundra,Iceland,HJARDARLAND:HF73,64.03843,-20.27764,Magnusson,Magnusson et al. 2015,1998,2015,0,0,Deciduous shrubs,Group,17,0,0,Ecological monitoring,Tundra_stable
Tundra,Iceland,HJARDARLAND:LH92,64.22035,-20.59859,Magnusson,Magnusson et al. 2015,1998,2015,3.615384615,9.692307692,Deciduous shrubs,Group,17,6.076923077,0.357466063,Ecological monitoring,Tundra_increase
Tundra,Iceland,HOLTAVORDUHEIDI:AH36,65.08352,-20.54624,Magnusson,Magnusson et al. 2015,1997,2015,0.541666667,4.0625,Deciduous shrubs,Group,18,3.520833333,0.195601852,Ecological monitoring,Tundra_increase
Tundra,Iceland,HOLTAVORDUHEIDI:AH37,65.06794,-20.58339,Magnusson,Magnusson et al. 2015,1997,2015,1.708333333,1.958333333,Deciduous shrubs,Group,18,0.25,0.013888889,Ecological monitoring,Tundra_increase
Tundra,Iceland,HOLTAVORDUHEIDI:AH38,65.07728,-20.58907,Magnusson,Magnusson et al. 2015,1997,2015,2.1,1,Deciduous shrubs,Group,18,-1.1,-0.061111111,Ecological monitoring,Tundra_decrease
Tundra,Iceland,HOLTAVORDUHEIDI:VH49,65.22778,-20.43913,Magnusson,Magnusson et al. 2015,1997,2015,2.791666667,6.208333333,Deciduous shrubs,Group,18,3.416666667,0.189814815,Ecological monitoring,Tundra_increase
Tundra,Iceland,HOLTAVORDUHEIDI:VH50,65.23772,-20.4487,Magnusson,Magnusson et al. 2015,1997,2015,0.214285714,1.428571429,Deciduous shrubs,Group,18,1.214285714,0.067460317,Ecological monitoring,Tundra_increase
Tundra,Canada,KLUANE:PIKA,61.21666667,-138.2666667,Koh,Elmendorf et al. 2012,1996,2007,3.8675,9.1425,Deciduous shrubs,Group,11,5.275,0.479545455,Ecological monitoring,Tundra_increase
Tundra,Russia,KYTALYK:LAKEBED,70.830638,147.475778,Blok,Bjorkman et al. 2018,2007,2012,25.72992701,29.74452555,Deciduous shrubs,Group,5,4.01459854,0.802919708,Ecological monitoring,Tundra_increase
Tundra,Russia,KYTALYK:RIDGE,70.826777,147.468277,Blok,Blok et al. 2010 GCB,2007,2009,9.871393813,12.23496698,Deciduous shrubs,Group,2,2.363573166,1.181786583,Ecological monitoring,Tundra_increase
Tundra,Sweden,LATNJA:DRY_HEATH,68.35572,18.49531,Molau,Molau 2010,1995,2008,1.7,4.75,Deciduous shrubs,Group,13,3.05,0.234615385,Ecological monitoring,Tundra_increase
Tundra,Sweden,LATNJA:DRY_MEADOW,68.35683,18.49756,Molau,Molau 1997; Unpubl. data,1996,2014,1.75,1.815,Deciduous shrubs,Group,18,0.065,0.003611111,Ecological monitoring,Tundra_increase
Tundra,Sweden,LATNJA:LatnjaHeath,68.35,18.49,Molau,Molau 2010,1995,1999,13.25,16.75,Deciduous shrubs,Group,4,3.5,0.875,Ecological monitoring,Tundra_increase
Tundra,Sweden,LATNJA:TUSSOCK_TUNDRA,68.3551536,18.4913635,Molau,Molau 2010,1995,2014,2.454545455,2,Deciduous shrubs,Group,19,-0.454545455,-0.023923445,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LATNJA:WET_SEDGE,68.3551536,18.4913635,Molau,Molau 1997; Unpubl. data,1994,2007,0.8,1.7,Deciduous shrubs,Group,13,0.9,0.069230769,Ecological monitoring,Tundra_increase
Tundra,Sweden,LOGH:LOGH2,62.10253,12.34458,Vowles,Vowles et al. 2017,1995,2011,2.966666667,0.323809524,Deciduous shrubs,Group,16,-2.642857143,-0.165178571,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LOGH:LOGH4,62.10253,12.34458,Vowles,Vowles et al. 2017,1995,2011,0.205882353,0.094117647,Deciduous shrubs,Group,16,-0.111764706,-0.006985294,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LOGH:LOGH5,62.10253,12.34458,Vowles,Vowles et al. 2017,1995,2011,0.857142857,8.719047619,Deciduous shrubs,Group,16,7.861904762,0.491369048,Ecological monitoring,Tundra_increase
Tundra,Sweden,LORI:LORI1,62.11508,12.27236,Vowles,Vowles et al. 2017,1995,2011,4.365789474,2.626315789,Deciduous shrubs,Group,16,-1.739473684,-0.108717105,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LORI:LORI3,62.11508,12.27236,Vowles,Vowles et al. 2017,1995,2011,8.306060606,6.781818182,Deciduous shrubs,Group,16,-1.524242424,-0.095265152,Ecological monitoring,Tundra_decrease
Tundra,Sweden,LORI:LORI4,62.11508,12.27236,Vowles,Vowles et al. 2017,1995,2011,4.345,10.4525,Deciduous shrubs,Group,16,6.1075,0.38171875,Ecological monitoring,Tundra_increase
Tundra,Iceland,MODRUVELLIR:LH69,65.93894,-18.10823,Magnusson,Magnusson et al. 2015,1998,2015,1.192307692,7.5,Deciduous shrubs,Group,17,6.307692308,0.371040724,Ecological monitoring,Tundra_increase
Tundra,Iceland,MODRUVELLIR:ML54,65.73728,-18.21928,Magnusson,Magnusson et al. 2015,1998,2015,0.833333333,6.833333333,Deciduous shrubs,Group,17,6,0.352941176,Ecological monitoring,Tundra_increase
Tundra,Iceland,MODRUVELLIR:MV51,65.77726,-18.27375,Magnusson,Magnusson et al. 2015,1998,2015,0.75,0.8125,Deciduous shrubs,Group,17,0.0625,0.003676471,Ecological monitoring,Tundra_increase
Tundra,Iceland,MODRUVELLIR:MV52,65.76853,-18.28029,Magnusson,Magnusson et al. 2015,1998,2015,8.111111111,18.66666667,Deciduous shrubs,Group,17,10.55555556,0.620915033,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:BARREN_SADDLE,40.052686,-105.58884,Spasojevic,Walker et al. 1994; Unpubl. data,1990,1997,5.533333333,6.0625,Deciduous shrubs,Group,7,0.529166667,0.075595238,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:DRY MEADOW_SADDLE,40.05473,-105.58621,Spasojevic,Walker et al. 1994; Unpubl. data,1990,1997,0,0.235294118,Deciduous shrubs,Group,7,0.235294118,0.033613445,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:MOIST MEADOW_SADDLE,40.052286,-105.589487,Spasojevic,Walker et al. 1994; Unpubl. data,1990,1997,0.277777778,0.3,Deciduous shrubs,Group,7,0.022222222,0.003174603,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:ORDINATION_DRYMEADOW,40.05473,-105.58621,Ebert-May,Elmendorf et al. 2012,1991,2001,0,0.25,Deciduous shrubs,Group,10,0.25,0.025,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:ORDINATION_MOISTMEADOW,40.052286,-105.589487,Ebert-May,Elmendorf et al. 2012,1991,2001,0.356770833,0.920833333,Deciduous shrubs,Group,10,0.5640625,0.05640625,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:ORDINATION_MOISTSHRUB,40.0533568,-105.5874753,Ebert-May,Elmendorf et al. 2012,1991,2001,26.44791667,33.365,Deciduous shrubs,Group,10,6.917083333,0.691708333,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:ORDINATION_WETMEADOW,40.054382,-105.58743,Ebert-May,Elmendorf et al. 2012,1991,2001,0.983333333,1.531851852,Deciduous shrubs,Group,10,0.548518519,0.054851852,Ecological monitoring,Tundra_increase
Tundra,USA,NIWOT:WET MEADOW_SADDLE,40.054382,-105.58743,Spasojevic,Walker et al. 1994; Unpubl. data,1990,1997,1.05,2.25,Deciduous shrubs,Group,7,1.2,0.171428571,Ecological monitoring,Tundra_increase
Tundra,Iceland,OXNADALSHEIDI:SA16,65.46684,-18.69754,Magnusson,Magnusson et al. 2015,1997,2015,5.777777778,7.5,Deciduous shrubs,Group,18,1.722222222,0.095679012,Ecological monitoring,Tundra_increase
Tundra,Iceland,OXNADALSHEIDI:SA17,65.46596,-18.69386,Magnusson,Magnusson et al. 2015,1997,2015,6.46875,10.4375,Deciduous shrubs,Group,18,3.96875,0.220486111,Ecological monitoring,Tundra_increase
Tundra,Iceland,OXNADALSHEIDI:SA19,65.48131,-18.90435,Magnusson,Magnusson et al. 2015,1997,2015,2.538461538,1.538461538,Deciduous shrubs,Group,18,-1,-0.055555556,Ecological monitoring,Tundra_decrease
Tundra,Canada,QHI:HE,69.57488,-138.86347,"Cooley, Johnstone, Myers-Smith, Kennedy, Burn, Zhang",Myers-Smith et al. 2011,1999,2015,6.652173913,10.60869565,Deciduous shrubs,Group,16,3.956521739,0.247282609,Ecological monitoring,Tundra_increase
Tundra,Canada,QHI:KO,69.57646,-138.86774,"Cooley, Johnstone, Myers-Smith, Kennedy, Burn, Zhang",Myers-Smith et al. 2011,1999,2015,9.6,13.4,Deciduous shrubs,Group,16,3.8,0.2375,Ecological monitoring,Tundra_increase
Tundra,Sweden,RIRI:RIRI2,67.77306,17.53611,Vowles,Vowles et al. 2017,1995,2011,4.413793103,18.17931034,Deciduous shrubs,Group,16,13.76551724,0.860344828,Ecological monitoring,Tundra_increase
Tundra,Sweden,RIRI:RIRI4,67.77306,17.53611,Vowles,Vowles et al. 2017,1995,2011,7.635135135,11.98648649,Deciduous shrubs,Group,16,4.351351351,0.271959459,Ecological monitoring,Tundra_increase
Tundra,Sweden,RIRI:RIRI6,67.77306,17.53611,Vowles,Vowles et al. 2017,1995,2011,5.160869565,12.00652174,Deciduous shrubs,Group,16,6.845652174,0.427853261,Ecological monitoring,Tundra_increase
Tundra,Svalbard,SADVENT:MES_PHOTO,78.19,15.934,COOPER,Cooper et al. 2006; Unpubl. data,2003,2008,49.4,33,Deciduous shrubs,Group,5,-16.4,-3.28,Ecological monitoring,Tundra_decrease
Tundra,Canada,SVERDRUP:SVERDRUP,79.13658,-79.61922,Levesque,Levesque 1997; Unpubl. data,1992,2009,5.3,1.666666667,Deciduous shrubs,Group,17,-3.633333333,-0.21372549,Ecological monitoring,Tundra_decrease
Tundra,Japan,TAISETSU:F1,43.54,142.87,KUDO,Kudo et al. 2010,2002,2007,8.533333333,8.533333333,Deciduous shrubs,Group,5,0,0,Ecological monitoring,Tundra_stable
Tundra,Japan,TAISETSU:F2,43.55,142.86,KUDO,Kudo et al. 2010,2002,2007,1.916666667,3.583333333,Deciduous shrubs,Group,5,1.666666667,0.333333333,Ecological monitoring,Tundra_increase
Tundra,Japan,TAISETSU:S1,43.55,142.87,KUDO,Kudo et al. 2010,2002,2007,16.83333333,1.5,Deciduous shrubs,Group,5,-15.33333333,-3.066666667,Ecological monitoring,Tundra_decrease
Tundra,Iceland,THYKKVIBAER:RT81,63.98622,-21.15821,Magnusson,Magnusson et al. 2005,1998,2015,3.8,9.7,Deciduous shrubs,Group,17,5.9,0.347058824,Ecological monitoring,Tundra_increase
Tundra,Iceland,THYKKVIBAER:VE82,63.97085,-21.16772,Magnusson,Magnusson et al. 2005,1998,2015,3,12.7,Deciduous shrubs,Group,17,9.7,0.570588235,Ecological monitoring,Tundra_increase
Tundra,Tibet,TIBET:SHRUB,37.6,101.3,Klein,Site not in NCC table,2001,2008,30.5,45,Deciduous shrubs,Group,7,14.5,2.071428571,Ecological monitoring,Tundra_increase
Tundra,USA,TOOLIK:DRY,68.62,-149.61,Gould,Wahren et al. 2005; Unpubl. Data,1994,2007,2.083333333,2.416666667,Deciduous shrubs,Group,13,0.333333333,0.025641026,Ecological monitoring,Tundra_increase
Tundra,USA,TOOLIK:IMNAVAIT,68.62,-149.28,Gould,Elmendorf et al. 2012,1989,2007,2.04084507,2.632394366,Deciduous shrubs,Group,18,0.591549296,0.03286385,Ecological monitoring,Tundra_increase
Tundra,USA,TOOLIK:MOIST,68.62,-149.61,Gould,Wahren et al. 2005; Unpubl. data,1994,2008,7.19047619,12.11111111,Deciduous shrubs,Group,14,4.920634921,0.351473923,Ecological monitoring,Tundra_increase
Tundra,USA,TOOLIK:TUSSOCKGRID,68.62,-149.61,Gould,Elmendorf et al. 2012,1990,2008,1.079411765,2.2,Deciduous shrubs,Group,18,1.120588235,0.062254902,Ecological monitoring,Tundra_increase
Tundra,Canada,TORNGATS:NAKVAKDRY,58.63917,-63.375,Hermanutz,Bjorkman et al. 2018,2007,2015,11.60678211,17.875,Deciduous shrubs,Group,8,6.268217893,0.783527237,Ecological monitoring,Tundra_increase
Tundra,Canada,TORNGATS:NAKVAKWET,58.63917,-63.375,Hermanutz,Bjorkman et al. 2018,2007,2015,17.67977855,17.65517241,Deciduous shrubs,Group,8,-0.024606141,-0.003075768,Ecological monitoring,Tundra_decrease
Tundra,Switzerland,VALBERCLA:ALPINE,46.4758,9.5842,Rixen,Gugerli 1997; Unpubl. data,1994,2013,3.296296296,8.822222222,Deciduous shrubs,Group,19,5.525925926,0.290838207,Ecological monitoring,Tundra_increase